combo,run,Tasks Completed,Throughput (MB),Avg Latency (ms),Tasks Dropped,Success Rate (%),Sched Overhead (ms),P2P Offloads,Average Throughput-Thr,UAV Utilization,Capacity Utilization,Unassigned Tasks,Repair Queue Len,Invalid Assigns,Reassigned Tasks
MOGS/PPO,1,60.0,28.6102,492.98,340.0,15.0,2.4123,1.0,0.15,0.3417,0.0083,85.0,,,
MOGS/PPO,2,64.0,30.5176,526.72,336.0,16.0,1.3855,0.0,0.16,0.4083,0.0083,84.0,,,
MOGS/PPO,3,91.0,43.3922,504.33,309.0,22.75,1.8912,0.0,0.2275,0.45,0.0128,77.25,,,
MOGS/PPO,4,90.0,42.9153,440.05,310.0,22.5,1.6873,0.0,0.225,0.4083,0.0128,77.5,,,
MOGS/PPO,5,45.0,21.4577,546.36,355.0,11.25,2.5818,1.0,0.1125,0.2833,0.0062,88.75,,,
MOGS/PPO,6,38.0,18.1198,544.72,362.0,9.5,1.556,0.0,0.095,0.2083,0.0043,90.5,,,
MOGS/PPO,7,91.0,43.3922,481.15,409.0,18.2,3.8947,0.0,0.182,0.3667,0.0116,81.8,,,
MOGS/PPO,8,46.0,21.9345,457.04,354.0,11.5,6.233,3.0,0.115,0.2583,0.0064,88.5,,,
MOGS/PPO,9,41.0,19.5503,480.53,359.0,10.25,2.9915,0.0,0.1025,0.275,0.0056,89.75,,,
MOGS/PPO,10,78.0,37.1933,496.72,322.0,19.5,2.0217,0.0,0.195,0.325,0.0114,80.5,,,
MOGS/CAR,1,183.0,87.2612,466.69,217.0,45.75,4.1997,10.0,0.4575,0.9167,0.0266,54.25,,,
MOGS/CAR,2,154.0,73.4329,510.73,246.0,38.5,3.0764,0.0,0.385,0.9167,0.0214,61.5,,,
MOGS/CAR,3,173.0,82.4928,602.79,227.0,43.25,8.0624,2.0,0.4325,0.9,0.0239,56.75,,,
MOGS/CAR,4,41.0,19.5503,456.6,359.0,10.25,5.2537,1.0,0.1025,0.2,0.0063,89.75,,,
MOGS/CAR,5,42.0,20.0272,530.39,358.0,10.5,2.7156,0.0,0.105,0.2083,0.0057,89.5,,,
MOGS/CAR,6,41.0,19.5503,521.35,359.0,10.25,3.9086,0.0,0.1025,0.2583,0.0059,89.75,,,
MOGS/CAR,7,57.0,27.1797,578.84,343.0,14.25,2.2546,0.0,0.1425,0.3417,0.0077,85.75,,,
MOGS/CAR,8,86.0,41.008,577.72,314.0,21.5,3.6913,1.0,0.215,0.4667,0.0125,78.5,,,
MOGS/CAR,9,48.0,22.8882,507.15,352.0,12.0,1.9363,0.0,0.12,0.2667,0.0069,88.0,,,
